Gene		 Terms
CRPPA:		 GO:0042803 GO:0047349 GO:0070567 GO:0047349 GO:0070567 
GSAP:		 GO:0001540 GO:0005515 
ZNF804B:	 GO:0003676 GO:0046872 
GTPBP10:	 GO:0003723 GO:0005515 GO:0005515 GO:0005515 GO:0005525 
WDR91:		 GO:0005515 GO:0005515 GO:0035014 
KLRG2:		 GO:0030246 
RAB19:		 GO:0005525 GO:0003924 
PRSS37:		 GO:0004252 
GRIFIN:		 GO:0030246 
CDC14C:		 GO:0008138 GO:0004725 GO:0004722 
SPATA48:	 GO:0003674 
MBLAC1:		 GO:0016787 GO:0046872 
PMS2P1:		 GO:0016301 GO:0016887 
EFCAB5:		 GO:0005509 
EME2:		 GO:0003677 GO:0005515 GO:0008821 
SLC35F4:	 GO:0022857 
XIRP2:		 GO:0051015 GO:0051393 
FITM1:		 GO:0003674 
CLEC18A:	 GO:0005515 GO:0005515 GO:0005515 GO:0030247 GO:0030247 
VPS37C:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0048306 
CCDC151:	 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 
PSMB11:		 GO:0004298 GO:0008233 GO:0004175 
PSD:		 GO:0005086 GO:0005515 GO:0005543 
KRBA1:		 GO:0003674 
TRAPPC13:	 GO:0005515 GO:0005515 
HTR3E:		 GO:0004888 GO:0022850 GO:0005230 
CNOT1:		 GO:0003723 GO:0003723 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0019904 GO:0030331 GO:0042974 GO:0060090 GO:0070016 GO:0004535 
CARNS1:		 GO:0005524 GO:0016887 GO:0046872 GO:0047730 GO:0047730 GO:0047730 GO:0047730 GO:0102102 GO:0047730 GO:0010181 
CDHR4:		 GO:0005509 
BDP1:		 GO:0003677 GO:0001156 
DPPA5:		 GO:0003729 GO:0003729 
PINLYP:		 GO:0004859 
GOLGA8O:	 GO:0005515 
TRIM43B:	 GO:0008270 
GMNC:		 GO:0003682 
LRCOL1:		 GO:0008047 
IQCA1L:		 GO:0005524 
RNF222:		 GO:0046872 
NKX2-6:		 GO:0000977 GO:0000981 GO:0000981 GO:0001228 GO:0003700 GO:0003700 GO:0000978 GO:0043565 
OR6C74:		 GO:0004930 GO:0004984 
IZUMO1R:	 GO:0005102 GO:0005515 GO:0005515 GO:0038023 GO:0005542 GO:0038023 
FAM83G:		 GO:0005515 
OR14I1:		 GO:0004930 GO:0004984 GO:0005549 
ASPDH:		 GO:0033735 GO:0050661 
PALM3:		 GO:0005515 GO:0005524 
RBMY1B:		 GO:0003723 GO:0003723 
PGP:		 GO:0000121 GO:0000287 GO:0004725 GO:0008967 GO:0043136 GO:0098519 GO:0043136 GO:0016791 
OR5H15:		 GO:0004930 GO:0005549 GO:0004984 
TRIM49B:	 GO:0008270 
METTL21EP:	 GO:0008168 
OR6C68:		 GO:0004930 GO:0004984 
MEIS3P1:	 GO:0003677 GO:0003677 
TMEM8B:		 GO:0005515 
ZNF840P:	 GO:0003677 GO:0046872 
PABPN1L:	 GO:0003723 
FAM86C2P:	 GO:0008168 
OR5K3:		 GO:0004930 GO:0005549 GO:0004984 
PRORSD1P:	 GO:0002161 
ANTXRL:		 GO:0046872 GO:0004888 
CCDC182:	 GO:0003674 
OR6C6:		 GO:0004930 GO:0004984 
TRABD2B:	 GO:0004222 GO:0004222 GO:0005515 GO:0017147 GO:0017147 GO:0046872 GO:0017147 GO:0004222 
OR2W5:		 GO:0004930 GO:0004984 
HELT:		 GO:0000978 GO:0000981 GO:0000981 GO:0042803 GO:0000977 GO:0001227 
EFCAB10:	 GO:0005509 
FABP12:		 GO:0008289 
ZNF316:		 GO:0003677 GO:0046872 
RBFOX3:		 GO:0003677 GO:0003729 
TCAF2:		 GO:0044325 GO:0044325 GO:0044325 
DPRX:		 GO:0000981 GO:0000981 GO:0043565 
CFAP73:		 GO:0070840 
PGPEP1L:	 GO:0008234 
MFSD2B:		 GO:0015293 GO:0046624 GO:0046624 GO:0005215 
SDHAF1:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 
WIPF3:		 GO:0017124 GO:0051015 
ZSCAN5C:	 GO:0000981 GO:0003676 GO:0046872 
URAD:		 GO:0016831 GO:0016831 
TRIM64:		 GO:0008270 
OOEP:		 GO:0003723 GO:0005515 
GGT3P:		 GO:0003674 GO:0102953 GO:0103068 GO:0036374 GO:0000048 GO:0036374 
OR51F1:		 GO:0004930 GO:0004984 
OR2T8:		 GO:0004930 GO:0004984 
OR4C46:		 GO:0004930 GO:0004984 
CAPN8:		 GO:0005509 GO:0004198 GO:0004198 
DDTL:		 GO:0016829 
OR5H14:		 GO:0004930 GO:0005549 GO:0004984 
ZNF860:		 GO:0000981 GO:0003677 GO:0046872 
TUBAL3:		 GO:0003924 GO:0005525 GO:0005200 
OTOL1:		 GO:0005509 GO:0005201 
EPOP:		 GO:0003682 
SMCHD1:		 GO:0003677 GO:0005515 GO:0005524 GO:0016887 GO:0042803 
HMX3:		 GO:0000977 GO:0000981 GO:0000981 
CASTOR2:	 GO:0005515 GO:0005515 GO:0042802 GO:0034618 
TRIM64B:	 GO:0008270 
MSGN1:		 GO:0000981 GO:0000981 GO:0001228 GO:0003682 GO:0046983 GO:0000978 
ARHGAP42:	 GO:0005096 GO:0005096 
NCF1B:		 GO:0016175 GO:0035091 GO:0016176 GO:0043325 
UNC119B:	 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008289 GO:0008289 
OR6C70:		 GO:0004930 GO:0004984 
CRYM-AS1:	 GO:0042626 
SLC15A5:	 GO:0005515 GO:0005515 GO:0015333 GO:1904680 GO:0035673 
RNF227:		 GO:0046872 
AGAP5:		 GO:0005096 GO:0046872 
WTIP:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0046872 GO:0003714 
NKX6-3:		 GO:0000981 GO:0000981 GO:0001228 GO:0043565 GO:0003700 GO:0043565 GO:0000978 
PRR19:		 GO:0005515 GO:0005515 
ARGFX:		 GO:0000981 GO:0000981 GO:0043565 
ZSCAN5B:	 GO:0000981 GO:0003677 GO:0046872 
UNCX:		 GO:0000981 GO:0000981 GO:0043565 
SLC9B1P1:	 GO:0015299 
OR6C65:		 GO:0004930 GO:0004984 
RIMBP3C:	 GO:0003674 GO:0030156 
TRIM75P:	 GO:0008270 
ACOD1:		 GO:0047613 GO:0047613 GO:0047547 
ZNF233:		 GO:0000981 GO:0003677 GO:0046872 GO:0003700 
LIPT2:		 GO:0016874 GO:0033819 GO:0102555 GO:0033819 
ZNF98:		 GO:0000981 GO:0003677 GO:0046872 
SLC22A20P:	 GO:0022857 
PCNX2:		 GO:0003674 
SAC3D1:		 GO:0005515 
ARID3C:		 GO:0003682 GO:0001228 GO:0000977 
RPL37AP8:	 GO:0003735 GO:0046872 
OR5H1:		 GO:0004930 GO:0005549 GO:0004984 
SDR42E2:	 GO:0003854 GO:0016491 GO:0016616 
CGB1:		 GO:0005179 GO:0005179 
SLC22A31:	 GO:0022857 
OR6C75:		 GO:0004930 GO:0004984 
OR5B21:		 GO:0004930 GO:0004984 GO:0005549 
SHISA7:		 GO:0035255 
AQP7P3:		 GO:0015267 GO:0015204 
A6NLC8:		 GO:0046982 GO:0008134 GO:0003713 
TRIM64C:	 GO:0008270 
RFPL4A:		 GO:0046872 
DUXA:		 GO:0000981 GO:0003677 GO:0003677 
OR2AG2:		 GO:0004930 GO:0004984 
ZFP92:		 GO:0000981 GO:0003677 GO:0046872 
CCT8L1P:	 GO:0005524 
CLDN24:		 GO:0005198 
OR6C76:		 GO:0004930 GO:0004984 
SIGLEC16:	 GO:0005515 GO:0030246 
FIGNL2:		 GO:0005524 GO:0016887 GO:0008568 
CPSF4L:		 GO:0003723 GO:0046872 
FAM170B:	 GO:0005515 
OR5K4:		 GO:0004930 GO:0005549 GO:0004984 
DBX1:		 GO:0000981 GO:0000981 GO:0043565 
OR52A4P:	 GO:0004930 GO:0004984 
ANXA2P2:	 GO:0005509 GO:0008092 GO:0046790 GO:0019834 GO:0005544 GO:0042802 GO:0099511 GO:0002020 GO:0017137 GO:0005546 GO:0044730 GO:0044548 GO:0005262 GO:0001786 
SNTN:		 GO:0046914 
OR4C45:		 GO:0004930 GO:0004984 
COL6A6:		 GO:0030020 GO:0030020 GO:0030020 
ZNF729:		 GO:0000981 GO:0003677 GO:0046872 
DRGX:		 GO:0000981 GO:0000981 GO:0000981 GO:0000977 
OR2AT4:		 GO:0004930 GO:0004984 GO:0004984 
MARCH11:	 GO:0008270 GO:0016740 
ZNF726:		 GO:0000981 GO:0003677 GO:0046872 
TTLL13P:	 GO:0005524 GO:0016874 
ENO4:		 GO:0000287 GO:0003674 GO:0004634 
USP27X:		 GO:0004843 GO:0061578 GO:1990380 
A6NNZ2:		 GO:0003924 GO:0005200 GO:0005525 
ZNF716:		 GO:0000981 GO:0003677 GO:0046872 
TTLL8:		 GO:0005524 GO:0070735 GO:0070736 
LRRIQ3:		 GO:0005515 GO:0005515 
BTBD11:		 GO:0046982 
ZSWIM8:		 GO:0008270 
MYH7B:		 GO:0003774 GO:0005515 GO:0005524 GO:0051015 
ARHGAP32:	 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:1901981 GO:0005096 
DISP2:		 GO:0003674 
TBKBP1:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 
SRRM4:		 GO:0003729 GO:0003729 
SOBP:		 GO:0032184 GO:0046872 
POM121C:	 GO:0005515 GO:0008139 GO:0017056 
ZNF839:		 GO:0003676 GO:0046872 
MEIS3P2:	 GO:0003677 GO:0003677 
WASHC1:		 GO:0003779 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0031625 GO:0043014 
A2ML1:		 GO:0004867 GO:0030414 
CLCA1:		 GO:0005254 GO:0008237 GO:0046872 GO:0005229 
EFCAB7:		 GO:0005509 
SFI1:		 GO:0005515 GO:0005515 GO:0019902 
ZNF785:		 GO:0000981 GO:0003677 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0046872 
ERI2:		 GO:0003676 GO:0008270 GO:0008310 GO:0000175 
DDX11L8:	 GO:0003677 GO:0003723 GO:0003724 GO:0005515 GO:0005524 GO:0003678 
YDJC:		 GO:0000287 GO:0016787 GO:0019213 
GABRR3:		 GO:0004890 GO:0005254 GO:0019904 GO:0004890 GO:0005230 
ZNF850:		 GO:0046872 GO:0003677 
NEURL1B:	 GO:0005515 GO:0046872 GO:0061630 GO:0061630 
ZNF891:		 GO:0000981 GO:0003677 GO:0046872 
CENPX:		 GO:0003677 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0003690 GO:0003690 
ZBBX:		 GO:0008270 
GNAT3:		 GO:0005525 GO:0046872 GO:0001664 GO:0003924 GO:0031683 
FOXI3:		 GO:0000981 GO:0043565 GO:0000981 
RNF212B:	 GO:0046872 GO:0019789 
HMSD:		 GO:0004867 
NOTO:		 GO:0000981 GO:0000981 GO:0000981 GO:0003677 GO:0003677 GO:0001162 GO:0000978 GO:0001227 
BBIP1:		 GO:0005515 GO:0005515 GO:0005515 
SMTNL1:		 GO:0005516 GO:0008157 GO:0005523 
LGALS16:	 GO:0030395 
CSKMT:		 GO:0016278 GO:0016279 
FABP5P3:	 GO:0008289 
ZNF727:		 GO:0000981 GO:0003677 GO:0046872 
ZNF705G:	 GO:0000981 GO:0003677 GO:0046872 
MPTX1:		 GO:0046872 
ZNF705F:	 GO:0000981 GO:0003677 GO:0046872 
NCF1C:		 GO:0016175 GO:0043325 GO:0035091 GO:0016176 
HEPACAM2:	 GO:0005515 
