VSTM5	GO:0021517 GO:0046847 GO:0051260 GO:1904891 
NUDT19	GO:0006625 GO:0008150 GO:0009062 
KRTAP9-1	GO:0031424 
KCNU1	GO:0034765 GO:0035036 GO:0071805 GO:0022414 GO:0042391 
FOXO6	GO:0006357 GO:0007613 GO:0060999 GO:0045944 GO:0042593 GO:0000122 GO:0008286 
EFCAB9	GO:0007283 GO:0030317 GO:0048240 
EVPLL	GO:0008544 GO:0045104 GO:0042060 
KPNA7	GO:0001824 GO:0006606 GO:0010628 GO:0010629 GO:0019054 GO:1902466 
MIF4GD	GO:0045727 GO:0006446 
AHRR	GO:0006805 GO:0000122 GO:0045944 GO:0009410 
MYO1G	GO:0002456 GO:0006887 GO:0031589 GO:0038096 GO:0071976 GO:0072678 GO:0120117 
HACD1	GO:0007275 GO:0035338 GO:0030497 GO:0042761 GO:0030148 
ESPN	GO:0007605 GO:0007626 GO:0030046 GO:0051491 GO:0051494 GO:0051017 
KLLN	GO:0006915 GO:0007050 
B2RBV5	GO:0008283 
MYO9A	GO:0007601 GO:0034329 GO:0035556 GO:0043547 GO:0045198 GO:0051056 GO:0150011 
VWC2L	GO:0030514 GO:0045666 GO:0030514 
ZBTB42	GO:0000122 GO:0007517 GO:0006974 
KDM4E	GO:0033169 GO:0055114 GO:0006338 
BTBD18	GO:0007141 GO:0007283 GO:0010529 GO:0030154 GO:0032968 GO:1990511 
EPM2A	GO:0016239 GO:0032007 
IQCJ-SCHIP1	GO:0051494 
SHISA9	GO:0048172 GO:0098962 GO:0048172 GO:2000311 
GGTLC3	GO:0006508 GO:0006751 GO:0008150 GO:1901750 
EIF3CL	GO:0001732 GO:0006413 
TARM1	GO:0002250 GO:0043312 GO:0045087 GO:2000515 
KCNJ18	GO:0034765 GO:1990573 
GPR89A	GO:0015031 GO:0015698 GO:0034220 GO:0034765 GO:0043123 GO:0051452 GO:0051452 
KIF28P	GO:0007005 GO:0072384 GO:0007018 GO:0030705 
TMEM150C	GO:0019230 GO:0055085 GO:0071260 GO:0010506 
WASH3P	GO:0006622 GO:0007032 GO:0016197 GO:0034314 GO:0042147 GO:0045022 
ALG1L2	GO:0097502 GO:0006486 
USP17L15	GO:0006511 GO:0016579 GO:0042981 
HSBP1L1	GO:1903507 GO:0070370 
PATL2	GO:0010607 GO:0017148 GO:0000290 GO:0033962 
USP17L10	GO:0006511 GO:0016579 GO:0042981 
USP17L13	GO:0006511 GO:0042981 GO:0016579 
MCRIP1	GO:0010717 
USP17L12	GO:0006511 GO:0016579 GO:0042981 
KBTBD13	GO:0016567 GO:0043687 
AKR1B15	GO:0006703 GO:0042572 GO:0055114 
ADM5	GO:0008150 
USP17L11	GO:0006511 GO:0016579 GO:0042981 
KLRF2	GO:0043320 GO:0050663 
USP17L21	GO:0006511 GO:0042981 GO:0016579 
USP17L18	GO:0006511 GO:0016579 GO:0042981 
USP17L22	GO:0006511 GO:0016579 GO:0042981 
USP17L23	GO:0006511 GO:0042981 GO:0016579 
USP17L17	GO:0006511 GO:0042981 GO:0016579 
USP17L19	GO:0006511 GO:0016579 GO:0042981 
